Period,Numbers,BigSmall,Color
21442,7,big,green
21828,3,small,green
21829,3,small,green
21830,3,small,green
21831,3,small,green
21832,7,big,green
21833,4,small,red
21834,5,big,green & purple
21853,8,big,red
21854,3,small,green
21855,8,big,red
21856,5,big,green & purple
21857,7,big,green
21858,6,big,red
21859,7,big,green
42377,5,big,green & purple
42378,7,big,green
42379,1,small,green
42380,8,big,red
42381,5,big,green & purple
42382,2,small,red
42383,7,big,green
42384,9,big,green
42385,2,small,red
42386,6,big,red
42387,8,big,red
42388,8,big,red
42389,0,small,red & purple
42390,9,big,green
42391,1,small,green
42392,9,big,green
42393,6,big,red
42394,4,small,red
42395,3,small,green
42396,6,big,red
42397,3,small,green
42398,7,big,green
42399,9,big,green
42400,3,small,green
42401,4,small,red
42402,3,small,green
42403,9,big,green
42404,8,big,red
42405,1,small,green
42406,0,small,red & purple
42407,9,big,green
42408,5,big,green & purple
42409,3,small,green
42410,6,big,red
42411,5,big,green & purple
42412,2,small,red
42413,7,big,green
42414,8,big,red
42415,6,big,red
42416,7,big,green
42417,1,small,green
42418,6,big,red
42419,7,big,green
42420,0,small,red & purple
42421,3,small,green
42422,9,big,green
42423,6,big,red
42424,9,big,green
42425,5,big,green & purple
42426,4,small,red
42427,4,small,red
42428,6,big,red
42429,3,small,green
42430,5,big,green & purple
42431,7,big,green
42432,8,big,red
42433,7,big,green
42434,7,big,green
42435,9,big,green
42436,9,big,green
42437,0,small,red & purple
42438,1,small,green
42439,1,small,green
42440,0,small,red & purple
42441,3,small,green
42442,9,big,green
42443,3,small,green
42444,2,small,red
42445,1,small,green
42446,2,small,red
42447,5,big,green & purple
42448,1,small,green
42449,2,small,red
42450,0,small,red & purple
42451,6,big,red
42452,2,small,red
42453,6,big,red
42454,9,big,green
42455,3,small,green
42456,4,small,red
42457,6,big,red
42458,6,big,red
42459,6,big,red
42547,0,small,red & purple
42548,6,big,red
42549,6,big,red
42550,7,big,green
42551,5,big,green & purple
42552,3,small,green
42553,0,small,red & purple
42554,6,big,red
42555,2,small,red
42556,8,big,red
42557,7,big,green
42558,0,small,red & purple
42559,4,small,red
42560,2,small,red
42561,6,big,red
42562,0,small,red & purple
42563,5,big,green & purple
42564,9,big,green
42565,0,small,red & purple
42566,2,small,red
42567,9,big,green
42568,1,small,green
42569,3,small,green
42570,6,big,red
42571,1,small,green
42572,0,small,red & purple
42573,0,small,red & purple
42574,5,big,green & purple
42575,5,big,green & purple
42609,1,small,green
42610,7,big,green
42611,5,big,green & purple
42612,9,big,green
42613,6,big,red
42614,6,big,red
42615,3,small,green
42616,3,small,green
42617,0,small,red & purple
42618,2,small,red
42619,1,big,green
42620,1,small,green
42621,4,small,red
42622,2,small,red
42623,5,big,green & purple
42624,3,small,green
42625,3,small,green
42626,7,big,green
42627,8,big,red
42628,8,big,red
42629,6,big,red
42630,4,small,red
42631,5,big,green & purple
42632,1,small,green
42633,0,small,red & purple
42635,0,small,red & purple
42636,9,big,green
42637,9,big,green
42638,6,big,red
42639,3,small,green
42640,2,small,red
42641,2,small,red
42642,7,big,green
42643,8,big,red
42644,1,small,green
42645,4,small,red
42646,1,small,green
42647,5,big,green & purple
42648,6,big,red
42649,1,small,green
42650,7,big,green
42651,3,small,green
42770,6,big,red
42771,3,small,green
42772,2,small,red
42773,8,big,red
42774,8,big,red
42775,9,big,green
42776,3,small,green
42777,2,small,red
42778,6,big,red
42779,0,small,red & purple
42780,7,big,green
42781,0,small,red & purple
42782,9,big,green
42783,1,small,green
42785,1,small,green
42786,8,big,red
42787,9,big,green
42788,4,small,red
42789,4,small,red
42790,2,small,red
42791,2,small,red
42792,0,small,red & purple
42793,8,big,red
42794,1,small,green
42795,9,big,green
42796,4,small,red
42797,9,big,green
42798,5,big,green & purple
